id,preguntas,base,variable,filtro,titulos_uno,titulos_dos,titulos_tres
q1,¿Donde se encuentran los hechos de corrupción en Colombia?,casos,departamento,no,Hechos de corrupción investigados y reportados por la prensa en Colombia según departamento (2016-2018) ,Hechos de corrupción investigados y reportados por la prensa en Colombia en Territorios de Paz (2010-2016) ,Hechos de corrupción investigados y reportados por la prensa en Colombia según departamento (2010-2018) 
q2,¿Cuál es el tipo de corrupción más recurrente en los hechos investigados y reportados por la prensa?,casos,tipo_corrupcion,no,Hechos de corrupción investigados y reportados por la prensa en Colombia según tipo de corrupción (2016-2018) ,Hechos de corrupción investigados y reportados por la prensa en Territorios de Paz según tipo de corrupción (2010-2016) ,Hechos de corrupción investigados y reportados por la prensa en Colombia según tipo de corrupción (2010-2018) 
q3,¿Cuáles han sido los sectores más afectados por la corrupción?,casos,sector_afectado,no,Hechos de corrupción investigados y reportados por la prensa en Colombia según sectores afectados (2016-2018) ,Hechos de corrupción investigados y reportados por la prensa en Territorios de Paz según sectores afectados  (2010-2016) ,Hechos de corrupción investigados y reportados por la prensa en Colombia según sectores afectados (2010-2018) 
q4,¿Cuáles han sido los ámbitos de la Gestión Pública más afectados por la corrupción? ,casos,naturaleza_corrupcion,no,Hechos de corrupción investigados y reportados por la prensa en Colombia según ámbitos de la gestión pública afectados (2016-2018) ,Hechos de corrupción investigados y reportados por la prensa en Territorios de Paz  según ámbitos de la gestión pública afectados (2010-2016) ,Hechos de corrupción investigados y reportados por la prensa en Colombia según ámbitos de la gestión pública afectados (2010-2018) 
q5,¿Cuánto dinero hay en juego con la corrupción?,casos,rango_dinero,no,Hechos de corrupción investigados y reportados por la prensa en Colombia según rangos de dinero en juego (2016-2018),Hechos de corrupción investigados y reportados por la prensa en Territorios de Paz según rangos de dinero en juego (2010-2016) ,Hechos de corrupción investigados y reportados por la prensa en Colombia según rangos de dinero en juego (2010-2018)
q6,¿Cuáles son los derechos humanos mayormente vulnerados por los hechos de corrupción?,casos,derecho_vulnerado,no,Hechos de corrupción investigados y reportados por la prensa en Colombia según tipo de derecho vulnerado (2016-2018) ,Hechos de corrupción investigados y reportados por la prensa en Territorios de Paz según tipo de derecho vulnerado (2010-2016) ,Hechos de corrupción investigados y reportados por la prensa en Colombia según tipo de derecho vulnerado (2010-2018) 
q7,¿Quienes son los actores individuales de la corrupción?,actores,tipo_actor_individual,tipo_actor_individual,Tipo de actores individuales involucrados en hechos de corrupción investigados y reportados por la prensa en Colombia (2016-2018) ,Tipo de actores individuales involucrados en hechos de corrupción investigados y reportados por la prensa en Territorios de Paz  (2010-2016) ,Tipo de actores individuales involucrados en hechos de corrupción investigados y reportados por la prensa en Colombia (2010-2018) 
q8,¿Quienes son los actores colectivos de la corrupción?,actores,tipo_actor_colectivo,tipo_actor_colectivo,Tipo de actores colectivos involucrados en hechos de corrupción investigados y reportados por la prensa en Colombia (2016-2018) ,Tipo de actores colectivos involucrados en hechos de corrupción investigados y reportados por la prensa en Territorios de Paz  (2010-2016) ,Tipo de actores colectivos involucrados en hechos de corrupción investigados y reportados por la prensa en Colombia (2010-2018) 
q9,¿Cómo se da la investigación de los hechos de corrupción reportados por la prensa? ,actores,tipo_investigacion,tipo_investigacion,Hechos de corrupción investigados y reportados por la prensa en Colombia según tipos de investigación (2016-2108) ,Hechos de corrupción investigados y reportados por la prensa en Territorios de paz según tipos de investigación (2010-2016) ,Hechos de corrupción investigados y reportados por la prensa en Colombia según tipos de investigación (2010-2108) 
q10,¿Cómo se da la sanción de los hechos de corrupción reportados por la prensa?,actores,situacion_judicial,tipo_participacion,Actores involucrados en hechos de corrupción investigados y reportados por la prensa en Colombia según situación judicial (2016-2018) ,Actores involucrados en hechos de corrupción investigados y reportados por la prensa en territorios de paz según situación judicial (2010-2016) ,Actores involucrados en hechos de corrupción investigados y reportados por la prensa en Colombia según situación judicial (2010-2018) 
q11,¿Cuál fue el delito mayormente cometido en los hechos de corrupción?,casos,delito,no,Delitos cometidos en los hechos de corrupción investigados y reportados por la prensa en Colombia (2016-2018) ,Delitos cometidos en los hechos de corrupción investigados y reportados por la prensa en Territorios de Paz (2010-2016) ,Delitos cometidos en los hechos de corrupción investigados y reportados por la prensa en Colombia (2010-2018) 
q12,"¿En qué año ocurrieron más hechos de corrupción, según la prensa?",casos,ano_hecho,no,Hechos de corrupción investigados y reportados por la prensa en Colombia según año inicial del hecho (2016-2018) ,Hechos de corrupción investigados y reportados por la prensa en Territorios de Paz según año inicial del hecho (2010-2016) ,Hechos de corrupción investigados y reportados por la prensa en Colombia según año inicial del hecho (2010-2018) 
q13,¿Cuántas notas de prensa fueron revisadas para constrir los hechos de corrupción del Monitor Ciudadano?,notas,medio,no,Notas de prensa sobre hechos de corrupción en Colombia según medios nacionales y regionales (2016-2018) ,Notas de prensa sobre hechos de corrupción en Territorios de Paz según medios nacionales y regionales (2010-2016)  ,Notas de prensa sobre hechos de corrupción en Colombia según medios nacionales y regionales (2010-2018) 
